schema_version,user_id,match_type,activity,available_times,min_session_minutes,acceptable_locations,allow_off_campus,group_size_preference,self_level,acceptable_partner_levels,hard_restrictions,goal,intensity,communication_style,planning_style,supervision_preference,punctuality_importance,cancellation_tolerance,organization_role,interests,self_description,partner_expectation,preference_weights
1.0.0,U0001,study,python,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30""]",60,"[""pku_library"",""teaching_building""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_off_campus"",""no_last_minute_cancel"",""no_high_intensity""]",exam_prep,1,quiet,planned,1,3,2,organizer,"[""programming"",""ai"",""reading"",""mathematics""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.1875,""planning"":0.1875,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0002,study,python,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",60,"[""pku_library"",""online""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_group_activity""]",skill_improvement,1,balanced,planned,5,4,3,participant,"[""programming"",""ai"",""languages"",""reading""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.12244898,""goal"":0.24489796,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0003,sport,running,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00""]",90,"[""sports_field"",""gymnasium""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_last_minute_cancel""]",fitness,1,quiet,planned,4,4,4,balanced,"[""running"",""outdoors"",""ball_sports""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.07843137,""goal"":0.23529412,""interest"":0.11764706,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0004,sport,running,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""sports_field""]",false,one_to_one,novice,"[""novice"",""basic""]",[],habit_building,1,interactive,flexible,3,5,3,balanced,"[""running"",""outdoors"",""ball_sports""]",我希望保持规律运动，重视安全和彼此节奏合适。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.12244898,""goal"":0.24489796,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0005,interest,movie,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""fri_21_00"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00"",""sat_16_30""]",90,"[""campus_common_area"",""off_campus_haidian""]",true,one_to_one,novice,"[""novice"",""basic""]","[""no_group_activity""]",experience,1,quiet,flexible,5,3,3,balanced,"[""movies"",""art"",""city_exploration"",""board_games""]",我喜欢探索校园及周边活动，希望安排轻松但不随意。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.07843137,""goal"":0.23529412,""interest"":0.11764706,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0006,interest,movie,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""fri_21_00""]",60,"[""campus_common_area""]",false,one_to_one,novice,"[""novice"",""basic""]","[""no_last_minute_cancel""]",social_connection,1,balanced,planned,2,4,2,participant,"[""movies"",""art"",""board_games"",""photography""]",我喜欢探索校园及周边活动，希望安排轻松但不随意。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.12244898,""goal"":0.16326531,""interest"":0.12244898,""level"":0.12244898,""planning"":0.12244898,""text"":0.04081632,""time"":0.30612245}"
1.0.0,U0007,study,higher_mathematics,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",60,"[""teaching_building"",""online""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus""]",skill_improvement,1,quiet,flexible,3,3,2,organizer,"[""mathematics"",""research""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08163265,""goal"":0.16326531,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.06122449,""time"":0.30612245}"
1.0.0,U0008,study,higher_mathematics,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""teaching_building""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus"",""no_last_minute_cancel""]",mutual_accountability,2,quiet,planned,3,4,2,participant,"[""mathematics"",""research""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.1875,""planning"":0.125,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0009,sport,badminton,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""gymnasium"",""sports_field""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],habit_building,1,interactive,flexible,4,4,3,organizer,"[""ball_sports"",""fitness""]",我想通过结伴提高运动积极性，同时享受活动过程。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.07843137,""goal"":0.23529412,""interest"":0.11764706,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0010,sport,badminton,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""gymnasium""]",false,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],skill_improvement,2,quiet,planned,4,3,4,balanced,"[""ball_sports"",""fitness"",""outdoors""]",我希望保持规律运动，重视安全和彼此节奏合适。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.12765957,""planning"":0.19148936,""text"":0.0425532,""time"":0.21276596}"
